bet_no,Date,P1,P2,pick_side,pick_odds,model_conf,pick_ev,pick_correct,stake_frac,stake_units,pnl_units,bankroll_before,bankroll_after,drawdown_pct
41,2025-04-17,Rublev A.,Davidovich Fokina A.,P1,1.8625,0.5775159482424592,0.07562345360158035,0,0.02191984162364646,24.603707861259927,-24.603707861259927,1122.440037829388,1097.8363299681282,8.462185981355258
42,2025-04-17,Khachanov K.,Munar J.,P1,1.7125,0.6253315822097203,0.07088033453414594,1,0.024870292818998597,27.303510993642114,19.453751582970003,1097.8363299681282,1117.2900815510982,6.840128261313766
43,2025-04-23,Cobolli F.,Marozsan F.,P1,2.355,0.5444543751544295,0.28219005348868154,1,0.03,33.51870244653294,45.417841815052135,1117.2900815510982,1162.7079233661502,3.0531794751361785
44,2025-04-23,Gaston H.,Ofner S.,P1,1.6325,0.6628576428319805,0.08211510192320814,0,0.03,34.88123770098451,-34.88123770098451,1162.7079233661502,1127.8266856651658,5.961584090882089
45,2025-04-23,Wong C.,Cina F.,P1,2.4675,0.5064957880678178,0.2497783570573403,0,0.03,33.83480056995497,-33.83480056995497,1127.8266856651658,1093.9918850952108,8.782736568155624
46,2025-04-23,Moutet C.,Mayot H.,P1,1.5625,0.6843571592190109,0.06930806127970446,0,0.03,32.819756552856326,-32.819756552856326,1093.9918850952108,1061.1721285423546,11.519254471110948
47,2025-04-24,Jarry N.,Altmaier D.,P1,2.2600000000000002,0.5400683297834261,0.22055442531054315,1,0.03,31.835163856270636,40.11230645890101,1061.1721285423546,1101.2844350012556,8.174682290118943
48,2025-04-24,Muller A.,Goffin D.,P2,2.1350000000000002,0.5185894516890756,0.10718847935617648,0,0.023609797215016815,26.00110218643401,-26.00110218643401,1101.2844350012556,1075.2833328148215,10.342659420453732
49,2025-04-24,Nishikori K.,Vukic A.,P1,1.395,0.7569022180788193,0.05587859421995295,1,0.03,32.25849998444465,12.742107493855636,1075.2833328148215,1088.0254403086772,9.280219934586107
50,2025-04-24,Giron M.,Tien L.,P1,1.78,0.6321616090920102,0.12524766418377825,1,0.03,32.640763209260314,25.459795303223046,1088.0254403086772,1113.4852356119002,7.157377081055424
51,2025-04-24,Struff J.L.,Van De Zandschulp B.,P1,2.4375,0.5038541407073376,0.22814446797413535,1,0.03,33.40455706835701,48.0190507857632,1113.4852356119002,1161.5042863976635,3.153538967675932
52,2025-04-24,Fearnley J.,Bu Y.,P1,1.835,0.6278352243281726,0.15207763664219676,1,0.03,34.8451285919299,29.095682374261465,1161.5042863976635,1190.599968771925,0.7275351188162105
53,2025-04-24,Dzumhur D.,Bellucci M.,P1,1.895,0.605050623268509,0.14657093109382457,1,0.03,35.71799906315775,31.967609161526184,1190.599968771925,1222.567577933451,0.0
54,2025-04-26,Diallo G.,Majchrzak K.,P1,2.0324999999999998,0.5528695528873052,0.12370736624344769,1,0.0299533574439341,36.62000366120542,37.81015378019459,1222.567577933451,1260.3777317136457,0.0
