ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1.0,Brisbane,Brisbane International,2026-01-08,ATP250,Outdoor,Hard,2nd Round,3,Kovacevic A.,Norrie C.,53.0,34.0,105.0,240.0,7.0,6.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.63,1.5,2.69,1.52,2.75,1.5,2.64,1.48,2.84,1.54
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-08,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Sonego L.,87.0,109.0,23.0,10.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.69,2.29,1.68,2.3,1.63,2.23,1.73,2.34
1.0,Brisbane,Brisbane International,2026-01-08,ATP250,Outdoor,Hard,2nd Round,3,Mpetshi G.,Hijikata R.,83.0,59.0,26.0,95.0,4.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.57,2.38,1.65,2.35,1.65,2.38,1.6,2.29,1.68,2.42
1.0,Brisbane,Brisbane International,2026-01-08,ATP250,Outdoor,Hard,2nd Round,3,Collignon R.,Dimitrov G.,74.0,115.0,48.0,10.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.76,1.5,2.75,1.53,2.63,1.48,2.84,1.53
1.0,Brisbane,Brisbane International,2026-01-08,ATP250,Outdoor,Hard,2nd Round,3,Nakashima B.,Halys Q.,31.0,58.0,323.0,95.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.44,3.0,1.45,2.88,1.43,2.77,1.48,3.0
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Borges N.,27.0,64.0,375.0,78.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.53,2.69,1.5,2.75,1.47,2.62,1.58,2.72
1.0,Brisbane,Brisbane International,2026-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Kovacevic A.,Mpetshi G.,53.0,83.0,105.0,26.0,7.0,6.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.3,1.62,2.25,1.72,2.38,1.68,2.25,1.62,2.32,1.73
1.0,Brisbane,Brisbane International,2026-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Nakashima B.,Collignon R.,31.0,74.0,323.0,48.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.68,2.32,1.83,2.3,1.66,2.18,1.75,2.3
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Giron M.,Mmoh M.,49.0,100.0,150.0,13.0,6.0,3.0,1.0,0.0,,,,,,,1.0,0.0,Retired,1.57,2.38,1.62,2.46,1.62,2.4,1.57,2.35,1.63,2.54
1.0,Brisbane,Brisbane International,2026-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Michelsen A.,Korda S.,33.0,22.0,240.0,476.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.82,1.49,2.75,1.5,2.65,1.46,2.88,1.52
