bet_no,Date,P1,P2,pick_side,pick_odds,model_conf,pick_ev,pick_correct,stake_frac,stake_units,pnl_units,bankroll_before,bankroll_after,drawdown_pct
79,2025-06-10,Dzumhur D.,Herbert P.,P1,2.7125,0.5559207824832152,0.5079351224857211,0,0.03,31.93109156432074,-31.93109156432074,1064.3697188106914,1032.4386272463707,14.869571953058966
80,2025-06-10,Opelka R.,De Jong J.,P1,1.7349999999999999,0.6291289938783635,0.09153880437896061,1,0.03,30.97315881739112,22.76527173078247,1032.4386272463707,1055.2038989771531,12.992446014623921
81,2025-06-12,Hurkacz H.,Lajal M.,P1,1.5825,0.6799725894555574,0.07605662281341957,0,0.03,31.656116969314592,-31.656116969314592,1055.2038989771531,1023.5477820078386,15.6026726341852
82,2025-06-13,Humbert U.,Borges N.,P1,1.4124999999999999,0.7692712893776108,0.08659569624587515,1,0.03,30.706433460235157,12.666403802346998,1023.5477820078386,1036.2141858101857,14.558255708033235
83,2025-06-14,Zverev A.,Shelton B.,P1,1.5875,0.6953394376118862,0.10385135720886929,1,0.03,31.08642557430557,18.26327502490452,1036.2141858101857,1054.4774608350901,13.052344964887325
84,2025-06-16,Kecmanovic M.,Marozsan F.,P1,1.8824999999999998,0.6168428744021238,0.16120671106199802,0,0.03,31.634323825052704,-31.634323825052704,1054.4774608350901,1022.8431370100375,15.660774615940701
85,2025-06-16,Monfils G.,McDonald M.,P1,1.8225,0.6291807945629955,0.1466819980910593,0,0.03,30.685294110301122,-30.685294110301122,1022.8431370100375,992.1578428997364,18.19095137746248
86,2025-06-17,Auger-Aliassime F.,Djere L.,P1,1.3175000000000001,0.8075215508733233,0.06390964327560361,1,0.03,29.76473528699209,9.450303453619991,992.1578428997364,1001.6081463533563,17.41172018933281
87,2025-06-17,Thompson J.,Munar J.,P1,1.3450000000000002,0.800240177206795,0.07632303834313936,0,0.03,30.04824439060069,-30.04824439060069,1001.6081463533563,971.5599019627557,19.88936858365282
88,2025-06-17,Diallo G.,Harris B.,P1,1.4525,0.7309118091881606,0.06164940284580317,1,0.03,29.14679705888267,13.188925669144405,971.5599019627557,984.7488276319001,18.801866762175912
89,2025-06-20,Khachanov K.,Etcheverry T.,P1,1.37,0.8020129916644312,0.09875779858027078,1,0.03,29.542464828957,10.930711986714094,984.7488276319001,995.6795396186142,17.900567483236067
90,2025-06-23,Sonego L.,Marozsan F.,P1,1.6875,0.6342564669080477,0.0703077879073305,1,0.025566468329938405,25.45600941642695,17.50100647379353,995.6795396186142,1013.1805460924077,16.45751011106086
91,2025-06-23,Halys Q.,Bellucci M.,P1,1.675,0.6752147753855284,0.13098474877076016,0,0.03,30.39541638277223,-30.39541638277223,1013.1805460924077,982.7851297096354,18.963784807729038
92,2025-06-23,Bergs Z.,Fonseca J.,P1,2.5625,0.5786430468497482,0.48277280755247975,0,0.03,29.48355389128906,-29.48355389128906,982.7851297096354,953.3015758183464,21.394871263497162
93,2025-06-23,Diallo G.,Munar J.,P1,1.635,0.6721530348489414,0.0989702119780192,1,0.03,28.59904727455039,18.160395019339497,953.3015758183464,971.4619708376858,19.897443561066787
94,2025-06-24,Opelka R.,Loffhagen G.,P1,1.6125,0.7520900819548162,0.21274525715214115,1,0.03,29.143859125130575,17.85061371414248,971.4619708376858,989.3125845518283,18.425559086501387
95,2025-06-24,Borges N.,Pinnington Jones J.,P1,1.5975000000000001,0.6865030131597161,0.09668856352264654,1,0.03,29.67937753655485,17.733428078091528,989.3125845518283,1007.0460126299198,16.963337233126925
96,2025-06-24,Bonzi B.,Holt B.,P1,1.6875,0.6526263717452101,0.10130700232004203,0,0.03,30.211380378897594,-30.211380378897594,1007.0460126299198,976.8346322510222,19.45443711613312
97,2025-06-24,Bautista Agut R.,Etcheverry T.,P1,1.5775000000000001,0.6883438519308746,0.08586242642095471,1,0.03,29.305038967530663,16.92366000374896,976.8346322510222,993.7582922547712,18.058985239170124
98,2025-06-25,Borges N.,Brooksby J.,P2,2.0774999999999997,0.5555450025258439,0.1541447427474406,1,0.03,29.812748767643132,32.12323679713546,993.7582922547712,1025.8815290519067,15.410241937026298
99,2025-06-26,Griekspoor T.,Diallo G.,P1,1.97,0.5613849200384529,0.10592829247575208,1,0.027301106308183526,28.007700684247972,27.16746966372053,1025.8815290519067,1053.0489987156272,13.170129778889347
100,2025-06-30,Tien L.,Basavareddy N.,P1,1.51,0.7115308940224503,0.07441164997389993,1,0.03,31.591469961468817,16.111649680349096,1053.0489987156272,1069.1606483959763,11.84163276450636
