number,value,state,params_colsample_bytree,params_extra_trees,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_num_leaves,params_path_smooth,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_best_iteration,duration
26,0.6069235772146357,COMPLETE,0.8091090316581305,False,0.02593722824050102,511,11,77,0.00038488863031271365,0.35048456572956,121,0.14552601272838706,8.130253463825227e-08,5.7142765529157826e-08,0.5714958410264179,6,141.0,0 days 00:00:21.930598
27,0.6159556139549319,PRUNED,0.5417503583493344,True,0.015342902884738661,255,11,190,8.511484627609871,0.21211100462348814,104,1.812708770189472,0.09870115694031281,0.0010608115695043315,0.8766890926294708,3,,0 days 00:00:04.004206
28,0.6038403851692213,COMPLETE,0.6428560431409304,False,0.0071376570545118355,511,9,152,0.0825740955514347,0.48161126972030566,43,0.024308949379632683,0.6567380115809527,1.0288748388522558e-06,0.981086274237271,2,1420.0,0 days 00:01:47.793776
29,0.6240965563573555,PRUNED,0.8137790400420317,False,0.006237083361463531,255,12,109,0.14027917099520765,0.022723190170728935,148,0.5619263791844606,0.001814800153417629,1.2895022207876854,0.8478743444923086,3,,0 days 00:00:08.376164
30,0.6119316094065187,PRUNED,0.8490808570098726,True,0.008784585536270114,255,7,121,0.0002447220966646715,0.40689750985347434,126,1.3694623451077585,0.000668139729781624,6.105883961928395e-06,0.9871974038330833,7,,0 days 00:00:12.271154
31,0.6077086258829579,PRUNED,0.9052766653909164,False,0.03140809342176774,127,12,175,0.00016830357865967816,0.29706535767606757,115,0.761781713262043,7.682192116846543,2.2581460114803295e-07,0.5131834872486261,3,,0 days 00:00:12.679556
32,0.6078480721902654,PRUNED,0.8844937075902553,True,0.011341769215819461,511,11,165,9.967548704385253,0.12367405087159883,28,0.901088270620187,3.1834026168331744,0.44343147476795125,0.9983184185369527,4,,0 days 00:00:39.967047
33,0.6091385687725241,PRUNED,0.9260907501592701,False,0.03185469024350227,127,5,138,0.03995199811522177,0.4383268013291725,101,0.8069657324247941,0.0009271746499000013,0.0011179998462326963,0.8861591958678197,4,,0 days 00:00:04.179368
34,0.6251838892075032,PRUNED,0.9520793472468743,True,0.009463303451580071,127,4,76,0.08904067307938413,0.39182650637057154,47,0.7930855646425403,1.3623829604952313e-05,0.0004225765590640593,0.6961220225498661,3,,0 days 00:00:03.592410
35,0.6091386751244485,PRUNED,0.6200728093890966,True,0.021838764394966806,511,8,197,0.029046276683520472,0.06402291947888622,77,0.3038053870245887,4.816925761080064e-08,1.4451652070275298e-07,0.664375805143754,5,,0 days 00:00:10.457939
36,0.6104997014462422,PRUNED,0.5885052421383734,True,0.020682751552725,511,5,46,0.0001600822137048068,0.23038938401636289,175,0.412667436811585,6.285253576054615e-08,1.2182119065927813e-07,0.5844675315360823,2,,0 days 00:00:09.362230
37,0.605039403178254,COMPLETE,0.8741298451918291,False,0.032801012171761325,255,11,185,0.00020201787535643756,0.185236051395691,34,0.9690459703820427,4.5781411057580794e-07,7.658503409373328e-07,0.6384388240736019,6,354.0,0 days 00:00:23.429559
38,0.6055421456970383,PRUNED,0.7663086332275115,False,0.010651187770070547,511,12,107,0.045768578731086855,0.18864208155231132,186,0.04014239555545274,1.5213688950996675e-06,2.649653465666531e-06,0.553586005669888,3,,0 days 00:00:24.505217
39,0.6066094321437964,PRUNED,0.872719737092165,False,0.029597265724295843,255,11,105,0.0002720203784148293,0.14188795289936224,178,0.7261645927972702,7.672482668451368e-05,1.406768791583852e-07,0.768553270909274,4,,0 days 00:00:20.352794
40,0.6205110808191744,PRUNED,0.5866867976473774,False,0.010176751647384493,255,5,56,0.0006359264168909615,0.26225569478512734,39,0.820793653979323,1.1773045477552273,5.273557806871438e-08,0.5932835120256529,2,,0 days 00:00:03.786871
