query_name,matched,player_name,player_slug,section,directory_matches,source_url,season
Popp A.,False,,,,,,2003
Portas A.,True,Albert Portas,AlbertPortas,retired_men,2.0,https://www.tennisabstract.com/charting/AlbertPortas.html,2003
Prieto S.,False,,,,,,2003
Prinosil D.,False,,,,,,2003
Prodon E.,False,,,,,,2003
Prpic A.,False,,,,,,2003
Puerta M.,True,Mariano Puerta,MarianoPuerta,retired_men,5.0,https://www.tennisabstract.com/charting/MarianoPuerta.html,2003
Quintero M.,False,,,,,,2003
Radic M.,False,,,,,,2003
Ram A.,True,Alice Rame,AliceRame,active_women,2.0,https://www.tennisabstract.com/charting/AliceRame.html,2003
Ram R.,True,Rajeev Ram,RajeevRam,retired_men,4.0,https://www.tennisabstract.com/charting/RajeevRam.html,2003
Ramirez Hidalgo R.,True,Ruben Ramirez Hidalgo,RubenRamirezHidalgo,retired_men,3.0,https://www.tennisabstract.com/charting/RubenRamirezHidalgo.html,2003
Ramirez-Hidalgo R.,True,Ruben Ramirez Hidalgo,RubenRamirezHidalgo,retired_men,3.0,https://www.tennisabstract.com/charting/RubenRamirezHidalgo.html,2003
Ratiwatana S.,False,,,,,,2003
Rea S.,False,,,,,,2003
Rehnquist B.,False,,,,,,2003
Reid T.,False,,,,,,2003
Reynolds B.,False,,,,,,2003
Rios M.,True,Marcelo Rios,MarceloRios,retired_men,34.0,https://www.tennisabstract.com/charting/MarceloRios.html,2003
Robredo T.,True,Tommy Robredo,TommyRobredo,retired_men,31.0,https://www.tennisabstract.com/charting/TommyRobredo.html,2003
Rocha D.,False,,,,,,2003
Rochus C.,False,,,,,,2003
Rochus O.,True,Olivier Rochus,OlivierRochus,retired_men,3.0,https://www.tennisabstract.com/charting/OlivierRochus.html,2003
Roddick A.,True,Andy Roddick,AndyRoddick,retired_men,129.0,https://www.tennisabstract.com/charting/AndyRoddick.html,2003
Roitman S.,False,,,,,,2003
Rosset M.,True,Marc Rosset,MarcRosset,retired_men,12.0,https://www.tennisabstract.com/charting/MarcRosset.html,2003
Rusedski G.,True,Greg Rusedski,GregRusedski,retired_men,23.0,https://www.tennisabstract.com/charting/GregRusedski.html,2003
Russell M.,True,Michael Russell,MichaelRussell,retired_men,2.0,https://www.tennisabstract.com/charting/MichaelRussell.html,2003
Sa A.,False,,,,,,2003
Sabau R.,False,,,,,,2003
Safin M.,True,Marat Safin,MaratSafin,retired_men,91.0,https://www.tennisabstract.com/charting/MaratSafin.html,2003
Salzenstein J.,False,,,,,,2003
Sanchez D.,True,Emilio Sanchez,EmilioSanchez,retired_men,7.0,https://www.tennisabstract.com/charting/EmilioSanchez.html,2003
Sanguinetti D.,True,Davide Sanguinetti,DavideSanguinetti,retired_men,4.0,https://www.tennisabstract.com/charting/DavideSanguinetti.html,2003
Santoro F.,True,Fabrice Santoro,FabriceSantoro,retired_men,15.0,https://www.tennisabstract.com/charting/FabriceSantoro.html,2003
Saretta F.,False,,,,,,2003
Sargsian S.,False,,,,,,2003
Sarstrand M.,False,,,,,,2003
Saulnier C.,False,,,,,,2003
Savolt A.,False,,,,,,2003
Schalken S.,True,Sjeng Schalken,SjengSchalken,retired_men,6.0,https://www.tennisabstract.com/charting/SjengSchalken.html,2003
Scherrer J.,False,,,,,,2003
Scherrer J.C.,False,,,,,,2003
Schuettler P.,True,Rainer Schuettler,RainerSchuettler,retired_men,10.0,https://www.tennisabstract.com/charting/RainerSchuettler.html,2003
Schuettler R.,True,Rainer Schuettler,RainerSchuettler,retired_men,10.0,https://www.tennisabstract.com/charting/RainerSchuettler.html,2003
Seppi A.,True,Andreas Seppi,AndreasSeppi,retired_men,33.0,https://www.tennisabstract.com/charting/AndreasSeppi.html,2003
Serra F.,True,Florent Serra,FlorentSerra,retired_men,2.0,https://www.tennisabstract.com/charting/FlorentSerra.html,2003
Serrano O.,False,,,,,,2003
Shimada T.,False,,,,,,2003
Silva J.,False,,,,,,2003
Sirianni J.,False,,,,,,2003
Sluiter R.,False,,,,,,2003
Snobel P.,False,,,,,,2003
Soderling R.,True,Robin Soderling,RobinSoderling,retired_men,30.0,https://www.tennisabstract.com/charting/RobinSoderling.html,2003
Spadea V.,True,Vincent Spadea,VincentSpadea,retired_men,4.0,https://www.tennisabstract.com/charting/VincentSpadea.html,2003
Squillari F.,True,Franco Squillari,FrancoSquillari,retired_men,3.0,https://www.tennisabstract.com/charting/FrancoSquillari.html,2003
Srichaphan N.,True,Paradorn Srichaphan,ParadornSrichaphan,retired_men,8.0,https://www.tennisabstract.com/charting/ParadornSrichaphan.html,2003
Srichaphan P.,True,Paradorn Srichaphan,ParadornSrichaphan,retired_men,8.0,https://www.tennisabstract.com/charting/ParadornSrichaphan.html,2003
Starace P.,True,Potito Starace,PotitoStarace,retired_men,2.0,https://www.tennisabstract.com/charting/PotitoStarace.html,2003
Stepanek R.,True,Radek Stepanek,RadekStepanek,retired_men,19.0,https://www.tennisabstract.com/charting/RadekStepanek.html,2003
Stoliarov A.,False,,,,,,2003
Suzuki T.,True,Takao Suzuki,TakaoSuzuki,retired_men,2.0,https://www.tennisabstract.com/charting/TakaoSuzuki.html,2003
Svarc L.,False,,,,,,2003
Tahiri M.,False,,,,,,2003
Taino E.,False,,,,,,2003
Tenconi T.,False,,,,,,2003
Terachi T.,False,,,,,,2003
Thomann N.,False,,,,,,2003
Tipsarevic J.,True,Janko Tipsarevic,JankoTipsarevic,retired_men,33.0,https://www.tennisabstract.com/charting/JankoTipsarevic.html,2003
Tuksar S.,False,,,,,,2003
Tursunov D.,True,Dmitry Tursunov,DmitryTursunov,retired_men,3.0,https://www.tennisabstract.com/charting/DmitryTursunov.html,2003
Udomchoke D.,False,,,,,,2003
Ulihrach B.,True,Bohdan Ulihrach,BohdanUlihrach,retired_men,4.0,https://www.tennisabstract.com/charting/BohdanUlihrach.html,2003
Urban F.,False,,,,,,2003
Vacek D.,False,,,,,,2003
Vacek J.,False,,,,,,2003
Vahaly B.,False,,,,,,2003
Van Lottum J.,False,,,,,,2003
Vanek J.,False,,,,,,2003
Varlet J.,False,,,,,,2003
Vassallo-Arguello M.,False,,,,,,2003
Vemic D.,False,,,,,,2003
Verdasco F.,True,Fernando Verdasco,FernandoVerdasco,retired_men,55.0,https://www.tennisabstract.com/charting/FernandoVerdasco.html,2003
Verkerk M.,True,Martin Verkerk,MartinVerkerk,retired_men,4.0,https://www.tennisabstract.com/charting/MartinVerkerk.html,2003
Veronelli D.,False,,,,,,2003
Vicente F.,False,,,,,,2003
Vik R.,False,,,,,,2003
Vinciguerra A.,True,Andreas Vinciguerra,AndreasVinciguerra,retired_men,2.0,https://www.tennisabstract.com/charting/AndreasVinciguerra.html,2003
Vliegen K.,False,,,,,,2003
Voinea A.,False,,,,,,2003
Volandri F.,True,Filippo Volandri,FilippoVolandri,retired_men,7.0,https://www.tennisabstract.com/charting/FilippoVolandri.html,2003
Voltchkov V.,False,,,,,,2003
Waske A.,False,,,,,,2003
Wassen R.,False,,,,,,2003
Wawrinka S.,True,Stan Wawrinka,StanWawrinka,active_men,181.0,https://www.tennisabstract.com/charting/StanWawrinka.html,2003
Weiner G.,False,,,,,,2003
Weinzierl J.,False,,,,,,2003
Wessels P.,False,,,,,,2003
Yim R.,False,,,,,,2003
Youzhny A.,True,Mikhail Youzhny,MikhailYouzhny,retired_men,43.0,https://www.tennisabstract.com/charting/MikhailYouzhny.html,2003
Youzhny M.,True,Mikhail Youzhny,MikhailYouzhny,retired_men,43.0,https://www.tennisabstract.com/charting/MikhailYouzhny.html,2003
Zabaleta M.,True,Mariano Zabaleta,MarianoZabaleta,retired_men,3.0,https://www.tennisabstract.com/charting/MarianoZabaleta.html,2003
Zeng S.X.,False,,,,,,2003
Zhu B.Q.,False,,,,,,2003
Zib T.,False,,,,,,2003
Zimonjic N.,False,,,,,,2003
Zovko L.,False,,,,,,2003
de Voest R.,False,,,,,,2003
di Mauro A.,False,,,,,,2003
van Lottum J.,False,,,,,,2003
van Scheppingen D.,False,,,,,,2003
