league,bin_idx,bin_start,bin_end,n,avg_pred,actual_rate,hits,target_mode,outcome,calib_gap
France/Ligue_1,9,0.45,0.5,250,0.4770080020272288,0.46,115.0,BTTS,NO,0.017008002027228797
France/Ligue_1,10,0.5,0.55,257,0.5239553328447338,0.4785992217898833,123.0,BTTS,NO,0.045356111054850545
France/Ligue_1,11,0.55,0.6000000000000001,150,0.5704348660833488,0.49333333333333335,74.0,BTTS,NO,0.07710153275001547
France/Ligue_1,12,0.6000000000000001,0.6500000000000001,36,0.6177642508814333,0.5555555555555556,20.0,BTTS,NO,0.062208695325877694
France/Ligue_1,13,0.65,0.7000000000000001,4,0.6735266026353284,0.75,3.0,BTTS,NO,-0.07647339736467162
France/Ligue_2,10,0.5,0.55,955,0.5243186598774188,0.5099476439790576,487.0,BTTS,NO,0.014371015898361206
Germany/Bundesliga_1,6,0.30000000000000004,0.35000000000000003,2,0.3411097736171457,0.0,0.0,BTTS,NO,0.3411097736171457
Germany/Bundesliga_1,7,0.35000000000000003,0.4,120,0.38543228300798754,0.39166666666666666,47.0,BTTS,NO,-0.006234383658679121
Germany/Bundesliga_1,8,0.4,0.45,489,0.4241227811883324,0.38650306748466257,189.0,BTTS,NO,0.037619713703669844
Germany/Bundesliga_1,9,0.45,0.5,211,0.46823610829854795,0.44549763033175355,94.0,BTTS,NO,0.0227384779667944
Germany/Bundesliga_1,10,0.5,0.55,48,0.5194932837896634,0.5208333333333334,25.0,BTTS,NO,-0.0013400495436699522
Germany/Bundesliga_1,11,0.55,0.6000000000000001,3,0.5712434492146599,0.3333333333333333,1.0,BTTS,NO,0.23791011588132654
Germany/Bundesliga_2,5,0.25,0.3,2,0.28697161003350746,0.0,0.0,BTTS,NO,0.28697161003350746
Germany/Bundesliga_2,6,0.30000000000000004,0.35000000000000003,24,0.33786252471658645,0.5833333333333334,14.0,BTTS,NO,-0.24547080861674692
Germany/Bundesliga_2,7,0.35000000000000003,0.4,156,0.3795098159532576,0.3782051282051282,59.0,BTTS,NO,0.0013046877481294183
Germany/Bundesliga_2,8,0.4,0.45,307,0.4262110458291428,0.3941368078175896,121.0,BTTS,NO,0.032074238011553236
Germany/Bundesliga_2,9,0.45,0.5,278,0.47091562358376515,0.4172661870503597,116.0,BTTS,NO,0.053649436533405426
Germany/Bundesliga_2,10,0.5,0.55,97,0.5189826392781279,0.41237113402061853,40.0,BTTS,NO,0.1066115052575094
Germany/Bundesliga_2,11,0.55,0.6000000000000001,8,0.5586518092964022,0.375,3.0,BTTS,NO,0.18365180929640224
Germany/Bundesliga_2,12,0.6000000000000001,0.6500000000000001,1,0.6015986442628749,0.0,0.0,BTTS,NO,0.6015986442628749
Italy/Serie_A,7,0.35000000000000003,0.4,10,0.3881417946577868,0.6,6.0,BTTS,NO,-0.21185820534221317
Italy/Serie_A,8,0.4,0.45,130,0.4319201159151179,0.46153846153846156,60.0,BTTS,NO,-0.029618345623343645
Italy/Serie_A,9,0.45,0.5,490,0.4770488714161914,0.46530612244897956,228.0,BTTS,NO,0.011742748967211836
Italy/Serie_A,10,0.5,0.55,363,0.520909959309472,0.5564738292011019,202.0,BTTS,NO,-0.03556386989162985
Italy/Serie_A,11,0.55,0.6000000000000001,86,0.5650963373235504,0.46511627906976744,40.0,BTTS,NO,0.09998005825378292
Italy/Serie_A,12,0.6000000000000001,0.6500000000000001,1,0.6309160218702902,1.0,1.0,BTTS,NO,-0.36908397812970983
Italy/Serie_B,7,0.35000000000000003,0.4,5,0.3864805350255921,0.8,4.0,BTTS,NO,-0.41351946497440795
Italy/Serie_B,8,0.4,0.45,123,0.4346138298576157,0.4634146341463415,57.0,BTTS,NO,-0.02880080428872578
Italy/Serie_B,9,0.45,0.5,668,0.47666528302619277,0.45808383233532934,306.0,BTTS,NO,0.01858145069086342
Italy/Serie_B,10,0.5,0.55,285,0.5174712117631705,0.4105263157894737,117.0,BTTS,NO,0.10694489597369677
Italy/Serie_B,11,0.55,0.6000000000000001,19,0.5590897094978315,0.47368421052631576,9.0,BTTS,NO,0.08540549897151578
Netherlands/Eredivisie,6,0.30000000000000004,0.35000000000000003,7,0.33790941714825884,0.5714285714285714,4.0,BTTS,NO,-0.23351915428031256
Netherlands/Eredivisie,7,0.35000000000000003,0.4,140,0.3835738569144555,0.36428571428571427,51.0,BTTS,NO,0.019288142628741234
Netherlands/Eredivisie,8,0.4,0.45,349,0.42686960829113496,0.44412607449856734,155.0,BTTS,NO,-0.017256466207432375
Netherlands/Eredivisie,9,0.45,0.5,241,0.47276967999870867,0.4066390041493776,98.0,BTTS,NO,0.06613067584933108
Netherlands/Eredivisie,10,0.5,0.55,104,0.5227526779835826,0.4423076923076923,46.0,BTTS,NO,0.08044498567589031
Netherlands/Eredivisie,11,0.55,0.6000000000000001,34,0.5700983134919656,0.4117647058823529,14.0,BTTS,NO,0.15833360760961268
Netherlands/Eredivisie,12,0.6000000000000001,0.6500000000000001,7,0.6098421763334213,0.2857142857142857,2.0,BTTS,NO,0.3241278906191356
Portugal/Primeira_Liga,9,0.45,0.5,8,0.49124727608042285,0.625,5.0,BTTS,NO,-0.13375272391957715
Portugal/Primeira_Liga,10,0.5,0.55,793,0.5281828682398682,0.4817150063051702,382.0,BTTS,NO,0.04646786193469793
Portugal/Primeira_Liga,11,0.55,0.6000000000000001,70,0.5560590844138454,0.7,49.0,BTTS,NO,-0.14394091558615452
Scotland/Championship,7,0.35000000000000003,0.4,4,0.38838935095190474,0.5,2.0,BTTS,NO,-0.11161064904809526
Scotland/Championship,8,0.4,0.45,72,0.43254825957791077,0.4861111111111111,35.0,BTTS,NO,-0.05356285153320034
Scotland/Championship,9,0.45,0.5,184,0.4767326072837847,0.5163043478260869,95.0,BTTS,NO,-0.039571740542302225
Scotland/Championship,10,0.5,0.55,176,0.5229922909219877,0.5170454545454546,91.0,BTTS,NO,0.005946836376533149
Scotland/Championship,11,0.55,0.6000000000000001,83,0.5684040242743449,0.5301204819277109,44.0,BTTS,NO,0.038283542346634
Scotland/Championship,12,0.6000000000000001,0.6500000000000001,6,0.6151250220435057,0.3333333333333333,2.0,BTTS,NO,0.2817916887101724
Scotland/League_One,7,0.35000000000000003,0.4,25,0.3952551138819378,0.52,13.0,BTTS,NO,-0.12474488611806223
Scotland/League_One,8,0.4,0.45,358,0.4277171523265781,0.45251396648044695,162.0,BTTS,NO,-0.024796814153868862
Scotland/League_One,9,0.45,0.5,141,0.4626380745655372,0.425531914893617,60.0,BTTS,NO,0.03710615967192016
Scotland/League_One,10,0.5,0.55,1,0.5035817718133142,1.0,1.0,BTTS,NO,-0.4964182281866858
Scotland/League_Two,7,0.35000000000000003,0.4,2,0.39245007254281034,0.5,1.0,BTTS,NO,-0.10754992745718966
Scotland/League_Two,8,0.4,0.45,59,0.43565029034581104,0.4576271186440678,27.0,BTTS,NO,-0.021976828298256756
Scotland/League_Two,9,0.45,0.5,280,0.4786056555195204,0.49642857142857144,139.0,BTTS,NO,-0.01782291590905105
Scotland/League_Two,10,0.5,0.55,175,0.5186815393532548,0.41714285714285715,73.0,BTTS,NO,0.10153868221039763
Scotland/League_Two,11,0.55,0.6000000000000001,9,0.554423045710212,0.4444444444444444,4.0,BTTS,NO,0.10997860126576753
Scotland/Premiership,8,0.4,0.45,33,0.4328529535426814,0.45454545454545453,15.0,BTTS,NO,-0.021692501002773146
Scotland/Premiership,9,0.45,0.5,279,0.48104058798850297,0.4229390681003584,118.0,BTTS,NO,0.05810151988814455
Scotland/Premiership,10,0.5,0.55,243,0.5210181968537413,0.5349794238683128,130.0,BTTS,NO,-0.013961227014571476
Scotland/Premiership,11,0.55,0.6000000000000001,90,0.5688901560788391,0.5222222222222223,47.0,BTTS,NO,0.04666793385661683
Scotland/Premiership,12,0.6000000000000001,0.6500000000000001,8,0.6130675483220633,0.625,5.0,BTTS,NO,-0.011932451677936662
Scotland/Premiership,13,0.65,0.7000000000000001,1,0.6663398742891768,1.0,1.0,BTTS,NO,-0.33366012571082315
Spain/Segunda_Division,7,0.35000000000000003,0.4,1,0.3795080812361311,0.0,0.0,BTTS,NO,0.3795080812361311
Spain/Segunda_Division,8,0.4,0.45,61,0.4366821638281854,0.29508196721311475,18.0,BTTS,NO,0.14160019661507067
Spain/Segunda_Division,9,0.45,0.5,470,0.48028398382536713,0.49361702127659574,232.0,BTTS,NO,-0.013333037451228602
Spain/Segunda_Division,10,0.5,0.55,603,0.5216618289767885,0.5124378109452736,309.0,BTTS,NO,0.009224018031514847
